Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-13,11.769167,12.216667,11.6975,12.125,12.037495,54027600,0
2018-02-14,11.943333,12.885,11.930833,12.835,12.74237,84057600,1
2018-02-15,13.166667,13.523333,12.765,13.505833,13.408362,95187600,2
2018-02-16,13.4075,13.789167,13.279167,13.355,13.258617,85276800,3
2018-02-20,13.201667,13.77,13.189167,13.421667,13.324803,72934800,4
2018-02-21,13.614167,14.0175,13.291667,13.300833,13.204842,88738800,5
2018-02-22,13.494167,13.695833,13.201667,13.303333,13.207325,83301600,6
2018-02-23,13.605,14.105,13.461667,14.095833,13.994104,71384400,7
2018-02-26,14.3175,14.668333,14.286667,14.661667,14.555855,66975600,8
2018-02-27,14.6875,14.765833,14.118333,14.136667,14.034644,86654400,9
2018-02-28,14.3725,14.5125,13.838333,13.8525,13.752528,76507200,10
2018-03-01,13.883333,14.068333,12.806667,13.185833,13.090672,125958000,11
2018-03-02,12.723333,13.611667,12.565,13.548333,13.450556,96699600,12
2018-03-05,13.3575,14.093333,13.196667,13.973333,13.872489,74440800,13
2018-03-06,14.181667,14.3075,13.9,14.15,14.04788,71030400,14
2018-03-07,13.840833,14.291667,13.768333,14.255833,14.152949,66882000,15
2018-03-08,14.415,14.518333,14.259167,14.468333,14.363917,57584400,16
2018-03-09,14.796667,15.310833,14.731667,15.310833,15.200336,73674000,17
2018-03-12,15.458333,15.680833,15.361667,15.54,15.427849,66339600,18
2018-03-13,15.458333,15.680833,14.821667,14.975833,14.867753,91146000,19
2018-03-14,15.165,15.210833,14.733333,14.925,14.817287,66811200,20
2018-03-15,14.97,15.150833,14.72,14.858333,14.751102,55448400,21
2018-03-16,14.943333,15.056667,14.733333,14.76,14.653479,39134400,22
2018-03-19,14.374167,14.374167,13.4225,13.833333,13.733499,97116000,23
2018-03-20,13.836667,14.033333,13.680833,13.935,13.834433,46096800,24
2018-03-21,13.833333,14.216667,13.561667,13.733333,13.63422,66248400,25
2018-03-22,13.2,13.466667,12.683333,12.73,12.638128,102939600,26
2018-03-23,12.683333,12.791667,11.701667,11.701667,11.617217,108799200,27
2018-03-26,12.416667,13.07,11.865,13.018333,12.924381,91752000,28
2018-03-27,13.324167,13.324167,11.430833,11.77,11.685057,136807200,29
2018-03-28,11.564167,11.901667,11.083333,11.364167,11.282153,121144800,30
2018-03-29,11.536667,12.308333,11.210833,11.993333,11.906777,98536800,31
2018-04-02,11.71,11.875,10.564167,10.928333,10.849464,122476800,32
2018-04-03,11.229167,11.433333,10.699167,11.295,11.213485,110902800,33
2018-04-04,10.635833,11.931667,10.6,11.829167,11.743797,108364800,34
2018-04-05,12.181667,12.229167,11.763333,12.015,11.928288,91677600,35
2018-04-06,11.640833,11.985,10.951667,11.118333,11.038093,116145600,36
2018-04-09,11.411667,12.021667,11.295833,11.340833,11.258987,87945600,37
2018-04-10,11.870833,12.2125,11.636667,12.09,12.002748,97437600,38
2018-04-11,11.883333,12.280833,11.850833,11.886667,11.800882,71720400,39
2018-04-12,12.125,12.4375,12.0825,12.303333,12.214541,71383200,40
2018-04-13,12.500833,12.553333,11.971667,12.120833,12.033359,71242800,41
2018-04-16,12.368333,12.5325,12.148333,12.388333,12.298927,59149200,42
2018-04-17,12.76,13.276667,12.695833,13.180833,13.085708,62073600,43
2018-04-18,13.2,13.4125,13.008333,13.2725,13.176713,59044800,44
2018-04-19,13.080833,13.165,12.770833,12.911667,12.818484,64509600,45
2018-04-20,12.8125,12.833333,12.158333,12.2925,12.203786,70406400,46
2018-04-23,12.463333,12.61,12,12.195833,12.107818,61666800,47
2018-04-24,12.356667,12.424167,11.18,11.418333,11.335928,106509600,48
2018-04-25,11.473333,11.6,10.99,11.463333,11.380603,105408000,49
2018-04-26,11.899167,12.291667,11.785,12.174167,12.086308,70996800,50
2018-04-27,12.706667,12.720833,11.993333,12.2025,12.114435,82429200,51
2018-04-30,12.284167,12.508333,11.844167,11.9425,11.856312,80562000,52
2018-05-01,11.838333,12.346667,11.760833,12.330833,12.241843,58489200,53
2018-05-02,12.4125,12.520833,12.083333,12.115833,12.028395,71826000,54
2018-05-03,11.954167,12.249167,11.5375,12.116667,12.029222,98036400,55
2018-05-04,11.963333,12.8875,11.931667,12.798333,12.705969,92966400,56
2018-05-07,12.988333,13.244167,12.948333,13.1025,13.00794,69531600,57
2018-05-08,13.0325,13.161667,12.7925,13.059167,12.964921,63357600,58
2018-05-09,13.15,13.529167,13.008333,13.496667,13.399263,57498000,59
2018-05-10,13.625,13.945,13.595,13.916667,13.816232,59503200,60
2018-05-11,13.845833,13.968333,13.691667,13.875,13.774865,59848800,61
2018-05-14,13.9625,14.2075,13.875,13.936667,13.836087,54591600,62
2018-05-15,13.605,13.628333,13.261667,13.485833,13.388507,87260400,63
2018-05-16,13.516667,13.833333,13.513333,13.734167,13.63505,44856000,64
2018-05-17,13.594167,13.890833,13.3775,13.579167,13.481167,51609600,65
2018-05-18,13.424167,13.558333,13.306667,13.361667,13.265236,42733200,66
2018-05-21,13.668333,13.8525,13.416667,13.595,13.496886,58446000,67
2018-05-22,13.769167,13.841667,13.465,13.524167,13.426564,48471600,68
2018-05-23,13.225,13.8725,13.211667,13.864167,13.76411,61522800,69
2018-05-24,13.86,13.9275,13.435,13.8525,13.752528,35555200,70
2018-05-25,13.8575,14.04,13.7675,13.8875,13.787275,31540800,71
2018-05-29,13.6975,13.945,13.4575,13.71,13.611056,47225600,72
2018-05-30,13.85,14.07,13.7625,14.0025,13.901444,35403200,73
2018-05-31,13.9825,14.245,13.86,13.9725,13.87166,40528400,74
2018-06-01,14.1625,14.645,14.1625,14.6225,14.516971,38585600,75
2018-06-04,14.725,15.025,14.705,14.9975,14.889265,32024800,76
2018-06-05,15.1175,15.2275,14.9525,15.1525,15.043145,27950000,77
2018-06-06,15.2,15.415,14.97,15.4025,15.291342,28814000,78
2018-06-07,15.4225,15.43,14.8075,15.045,14.936421,39226000,79
2018-06-08,14.8075,15.1,14.7075,15.035,14.926494,24660400,80
2018-06-11,14.9975,15.265,14.99,15.1525,15.043145,20418000,81
2018-06-12,15.215,15.4325,15.1675,15.3925,15.281413,23924000,82
2018-06-13,15.45,15.7325,15.285,15.375,15.264039,36123600,83
2018-06-14,15.595,15.915,15.5525,15.8425,15.728167,45226400,84
2018-06-15,15.66,15.7725,15.45,15.685,15.571803,38844800,85
2018-06-18,15.375,15.6875,15.23,15.65,15.537055,34363200,86
2018-06-19,15.0475,15.515,14.905,15.51,15.398066,53816800,87
2018-06-20,15.715,16.032499,15.6825,15.835,15.72072,39822400,88
2018-06-21,15.945,15.9975,15.3325,15.425,15.31368,51140400,89
2018-06-22,15.58,15.595,15.1525,15.27,15.1598,31113600,90
2018-06-25,14.905,14.9675,13.8725,14.295,14.191834,85653200,91
2018-06-26,14.4325,14.695,14.275,14.4525,14.348198,47082800,92
2018-06-27,14.635,14.83,13.83,13.8725,13.772383,65919200,93
2018-06-28,13.805,14.3525,13.7175,14.2125,14.109929,55650000,94
2018-06-29,14.4175,14.64,14.265,14.2775,14.17446,39268000,95
2018-07-02,13.915,14.615,13.82,14.5975,14.492151,41648400,96
2018-07-03,14.755,14.77,14.0575,14.095,13.993279,28212800,97
2018-07-05,14.3725,14.6475,14.1475,14.6125,14.507043,32811200,98
2018-07-06,14.7025,15.3225,14.63,15.27,15.1598,37506000,99
2018-07-09,15.52,15.7125,15.3475,15.695,15.58173,36188800,100
2018-07-10,15.7625,15.8375,15.57,15.7325,15.618959,33392000,101
2018-07-11,15.375,15.665,15.3225,15.5025,15.39062,39914800,102
