Date,Day of the Week,Amount,Description,Category ,Method of Payment
January 20,Friday,41.45,Groceries,Food,Cash
January 20,Friday,12.91,Panda Express,Food,Debit
January 21,Saturday,24.86,Pizza for brothers,Food,Cash
January 21,Saturday,21.06,Subway,Food,Cash
January 23,Monday,14.99,Gym ,Bills,Debit
January 25,Wednesday,18.32,Chipotle,Food,Debit
February 1,Wednesday,8,Fruit,Food,Cash
February 1,Wednesday,9.07,Target,Food,Debit
February 1,Wednesday,15.3,Poke Bowl,Food,Debit
February 5,Sunday,0.99,Apple Bill,Bills,Debit
